algorytm,zrodlo,cel,zaakceptowane,trasa_podstawowa,trasa_zabezpieczajaca,dlugosc_podstawowa,dlugosc_zabezpieczajaca,laczna_liczba_laczy,powod_odrzucenia
suurballe,12,19,True,12 - 9 - 7 - 10 - 17 - 19,12 - 6 - 9 - 14 - 16 - 21 - 19,5,6,11,
naiwny,12,20,True,12 - 9 - 7 - 10 - 17 - 19 - 20,12 - 6 - 9 - 14 - 16 - 17 - 18 - 20,6,7,13,
suurballe,12,20,True,12 - 9 - 7 - 10 - 17 - 19 - 20,12 - 6 - 9 - 14 - 16 - 17 - 18 - 20,6,7,13,
naiwny,12,21,True,12 - 9 - 14 - 16 - 21,12 - 6 - 9 - 7 - 10 - 17 - 21,4,6,10,
suurballe,12,21,True,12 - 9 - 14 - 16 - 21,12 - 6 - 9 - 7 - 10 - 17 - 21,4,6,10,
naiwny,13,14,True,13 - 17 - 16 - 14,13 - 3 - 10 - 7 - 9 - 14,3,5,8,
suurballe,13,14,True,13 - 17 - 16 - 14,13 - 3 - 10 - 7 - 9 - 14,3,5,8,
naiwny,13,15,True,13 - 3 - 10 - 7 - 9 - 12 - 15,13 - 17 - 10 - 5 - 2 - 4 - 8 - 15,6,7,13,
suurballe,13,15,True,13 - 3 - 10 - 7 - 9 - 12 - 15,13 - 17 - 10 - 5 - 2 - 4 - 8 - 15,6,7,13,
naiwny,13,16,True,13 - 17 - 16,13 - 3 - 10 - 11 - 16,2,4,6,
suurballe,13,16,True,13 - 17 - 16,13 - 3 - 10 - 11 - 16,2,4,6,
naiwny,13,17,True,13 - 17,13 - 18 - 17,1,2,3,
suurballe,13,17,True,13 - 17,13 - 18 - 17,1,2,3,
naiwny,13,18,True,13 - 18,13 - 17 - 18,1,2,3,
suurballe,13,18,True,13 - 18,13 - 17 - 18,1,2,3,
naiwny,13,19,True,13 - 17 - 19,13 - 18 - 20 - 19,2,3,5,
suurballe,13,19,True,13 - 17 - 19,13 - 18 - 20 - 19,2,3,5,
naiwny,13,20,True,13 - 18 - 20,13 - 17 - 19 - 20,2,3,5,
suurballe,13,20,True,13 - 18 - 20,13 - 17 - 19 - 20,2,3,5,
naiwny,13,21,True,13 - 17 - 21,13 - 18 - 17 - 16 - 21,2,4,6,
suurballe,13,21,True,13 - 17 - 21,13 - 18 - 20 - 19 - 21,2,4,6,
naiwny,14,15,True,14 - 9 - 12 - 15,14 - 16 - 11 - 7 - 9 - 6 - 8 - 15,3,7,10,
suurballe,14,15,True,14 - 9 - 12 - 15,14 - 16 - 11 - 7 - 9 - 6 - 8 - 15,3,7,10,
naiwny,14,16,True,14 - 16,14 - 9 - 7 - 11 - 16,1,4,5,
suurballe,14,16,True,14 - 16,14 - 9 - 7 - 11 - 16,1,4,5,
naiwny,14,17,True,14 - 16 - 17,14 - 9 - 7 - 10 - 17,2,4,6,
suurballe,14,17,True,14 - 16 - 17,14 - 9 - 7 - 10 - 17,2,4,6,
naiwny,14,18,True,14 - 16 - 17 - 18,14 - 9 - 7 - 10 - 3 - 13 - 18,3,6,9,
suurballe,14,18,True,14 - 16 - 17 - 18,14 - 9 - 7 - 10 - 3 - 13 - 18,3,6,9,
naiwny,14,19,True,14 - 16 - 17 - 19,14 - 9 - 7 - 10 - 17 - 21 - 19,3,6,9,
suurballe,14,19,True,14 - 16 - 21 - 19,14 - 9 - 7 - 10 - 17 - 19,3,5,8,
naiwny,14,20,True,14 - 16 - 17 - 19 - 20,14 - 9 - 7 - 10 - 17 - 18 - 20,4,6,10,
suurballe,14,20,True,14 - 16 - 17 - 19 - 20,14 - 9 - 7 - 10 - 17 - 18 - 20,4,6,10,
naiwny,14,21,True,14 - 16 - 21,14 - 9 - 7 - 10 - 17 - 21,2,5,7,
suurballe,14,21,True,14 - 16 - 21,14 - 9 - 7 - 10 - 17 - 21,2,5,7,
naiwny,15,16,True,15 - 12 - 9 - 14 - 16,15 - 8 - 6 - 9 - 7 - 11 - 16,4,6,10,
suurballe,15,16,True,15 - 12 - 9 - 14 - 16,15 - 8 - 6 - 9 - 7 - 11 - 16,4,6,10,
naiwny,15,17,True,15 - 12 - 9 - 7 - 10 - 17,15 - 8 - 6 - 9 - 14 - 16 - 17,5,6,11,
suurballe,15,17,True,15 - 12 - 9 - 7 - 10 - 17,15 - 8 - 6 - 9 - 14 - 16 - 17,5,6,11,
naiwny,15,18,True,15 - 12 - 9 - 7 - 10 - 17 - 18,15 - 8 - 4 - 2 - 5 - 10 - 3 - 13 - 18,6,8,14,
suurballe,15,18,True,15 - 12 - 9 - 7 - 10 - 17 - 18,15 - 8 - 4 - 2 - 5 - 10 - 3 - 13 - 18,6,8,14,
naiwny,15,19,True,15 - 12 - 9 - 7 - 10 - 17 - 19,15 - 8 - 6 - 9 - 14 - 16 - 21 - 19,6,7,13,
suurballe,15,19,True,15 - 12 - 9 - 7 - 10 - 17 - 19,15 - 8 - 6 - 9 - 14 - 16 - 21 - 19,6,7,13,
naiwny,15,20,True,15 - 12 - 9 - 7 - 10 - 17 - 19 - 20,15 - 8 - 6 - 9 - 14 - 16 - 17 - 18 - 20,7,8,15,
suurballe,15,20,True,15 - 12 - 9 - 7 - 10 - 17 - 19 - 20,15 - 8 - 6 - 9 - 14 - 16 - 17 - 18 - 20,7,8,15,
naiwny,15,21,True,15 - 12 - 9 - 14 - 16 - 21,15 - 8 - 4 - 2 - 5 - 10 - 17 - 21,5,7,12,
suurballe,15,21,True,15 - 12 - 9 - 14 - 16 - 21,15 - 8 - 4 - 2 - 5 - 10 - 17 - 21,5,7,12,
naiwny,16,17,True,16 - 17,16 - 21 - 17,1,2,3,
suurballe,16,17,True,16 - 17,16 - 21 - 17,1,2,3,
naiwny,16,18,True,16 - 17 - 18,16 - 21 - 17 - 13 - 18,2,4,6,
suurballe,16,18,True,16 - 17 - 18,16 - 21 - 19 - 20 - 18,2,4,6,
naiwny,16,19,True,16 - 17 - 19,16 - 21 - 19,2,2,4,
suurballe,16,19,True,16 - 17 - 19,16 - 21 - 19,2,2,4,
naiwny,16,20,True,16 - 17 - 19 - 20,16 - 21 - 17 - 18 - 20,3,4,7,
suurballe,16,20,True,16 - 17 - 18 - 20,16 - 21 - 19 - 20,3,3,6,
naiwny,16,21,True,16 - 21,16 - 17 - 21,1,2,3,
suurballe,16,21,True,16 - 21,16 - 17 - 21,1,2,3,
naiwny,17,18,True,17 - 18,17 - 13 - 18,1,2,3,
suurballe,17,18,True,17 - 18,17 - 13 - 18,1,2,3,
naiwny,17,19,True,17 - 19,17 - 21 - 19,1,2,3,
suurballe,17,19,True,17 - 19,17 - 21 - 19,1,2,3,
naiwny,17,20,True,17 - 18 - 20,17 - 19 - 20,2,2,4,
suurballe,17,20,True,17 - 18 - 20,17 - 19 - 20,2,2,4,
naiwny,17,21,True,17 - 21,17 - 16 - 21,1,2,3,
suurballe,17,21,True,17 - 21,17 - 16 - 21,1,2,3,
naiwny,18,19,True,18 - 17 - 19,18 - 20 - 19,2,2,4,
suurballe,18,19,True,18 - 17 - 19,18 - 20 - 19,2,2,4,
naiwny,18,20,True,18 - 20,18 - 17 - 19 - 20,1,3,4,
suurballe,18,20,True,18 - 20,18 - 17 - 19 - 20,1,3,4,
naiwny,18,21,True,18 - 17 - 21,18 - 20 - 19 - 21,2,3,5,
suurballe,18,21,True,18 - 17 - 21,18 - 20 - 19 - 21,2,3,5,
naiwny,19,20,True,19 - 20,19 - 17 - 18 - 20,1,3,4,
suurballe,19,20,True,19 - 20,19 - 17 - 18 - 20,1,3,4,
naiwny,19,21,True,19 - 21,19 - 17 - 21,1,2,3,
suurballe,19,21,True,19 - 21,19 - 17 - 21,1,2,3,
naiwny,20,21,True,20 - 19 - 21,20 - 18 - 17 - 21,2,3,5,
suurballe,20,21,True,20 - 19 - 21,20 - 18 - 17 - 21,2,3,5,
