algorytm,liczba_zadan,zaakceptowane,odrzucone,wspolczynnik_odrzucenia,srednia_dlugosc_podstawowa,srednia_dlugosc_zabezpieczajaca,srednia_laczna_liczba_laczy
naiwny,210,210,0,0.0,2.947619047619048,4.266666666666667,7.214285714285714
suurballe,210,210,0,0.0,2.947619047619048,4.242857142857143,7.190476190476191
